Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
BUSH's Baked Beans,63,0.2g,0g,0g,0mg,213.7mg,12.9g,1.9g,5.6g,2.7g
Canadian Bacon,31,0.7g,0.3g,0g,13.7mg,214.6mg,0.4g,0g,0.3g,5.8g
Chicken Congee,280,0.2g,0g,0g,4.4mg,98.5mg,61.4g,1.7g,0.2g,6.5g
Chinese Twist Cruller,26,1.2g,0.2g,0g,0mg,20.8mg,3.4g,0.1g,0g,0.5g
French Toast,99,2.8g,0.6g,0g,51.4mg,176.9mg,14.6g,0g,2.2g,4.6g
Hard Boiled Egg,111,7.7g,2.1g,0g,297.7mg,131mg,0g,0g,0g,10.7g
Hot Oatmeal,91,1.6g,0.3g,0g,0mg,1.4mg,16.2g,2.4g,0.2g,3.2g
Italian Beans Breakfast Bowl,153,11.7g,2.9g,0g,7.6mg,185.4mg,8.6g,1.7g,1.8g,5g
Omelet Bar,298,22.2g,10.8g,0.3g,290.9mg,671.2mg,2.9g,0.2g,0.9g,21g
Pulmuone Tofu Scramble,131,7.9g,1.6g,0g,0mg,116.1mg,2.9g,2.3g,0.5g,13g
Roasted Root Vegetables,43,1.1g,0.1g,0g,0mg,83.4mg,8.5g,0g,3.9g,0.8g
Roasted Tomatoes w/Feta & Spianch,61,5.5g,1.7g,0g,0mg,187.8mg,1.8g,0.6g,0.7g,2g
Scrambled Eggs,110,7.6g,2.1g,0g,293.6mg,129.2mg,0g,0g,0g,10.6g
Skillet Hash Browns,77,1.2g,0.1g,0g,0mg,79.8mg,15.1g,0.1g,0.3g,0.1g
Parmesan Leek Pastry,164,9.5g,5.5g,0g,29.9mg,244.2mg,16g,0.5g,2.5g,4g
Rasp White Choc Bundt,212,10.4g,2.3g,0g,37.5mg,137.1mg,31g,0.4g,19.4g,2.7g
Cauliflower & Potato Curry,43,1.7g,0g,0g,0mg,263.7mg,6.8g,1.7g,1.7g,0.9g
Chapati,97,3.9g,2.2g,0g,5.1mg,105mg,12g,1g,1g,2g
Coconut Chutney (Peanuts),80,7g,2.8g,0g,0mg,68.1mg,2.8g,1.7g,0.3g,2.1g
Paneer Bhurji,275,21g,11.1g,0g,64.8mg,140.1mg,7g,0.6g,1.3g,15.3g
Sambhar,107,4.6g,0.3g,0g,0mg,5.1mg,11.7g,2g,0.9g,4.2g
Uttapam (Lentil Pancakes),82,2.5g,0.2g,0g,0mg,293.7mg,11.9g,0.3g,0.4g,2.3g
Chicken Noodle Soup,63,1.6g,0g,0g,15.6mg,400.3mg,7.5g,0.6g,1.3g,4.4g
Tomato Basil Soup,149,12.2g,1.3g,0g,5.3mg,429.7mg,8.2g,1.9g,4.8g,3.7g
Black Bean Burger,160,7g,0g,0g,0mg,470mg,19g,4g,3g,7g
