Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
1% Milk,100,2.3g,1.5g,0.1g,11.9mg,104.3mg,11.8g,0g,11.8g,8g
4B Burger,859,63.2g,20.4g,0.6g,141.5mg,2285.8mg,42.5g,3.5g,16.9g,33.4g
8,121,3.5g,1g,0g,0mg,313.2mg,20.2g,1g,0g,3g
Add Caramelized Onions,29,2.2g,0.2g,0g,0mg,18.8mg,2.3g,0.4g,0g,0.3g
Add Fresh Avocado,83,7.6g,1.1g,0g,0mg,4mg,4.3g,3.4g,0.1g,1g
Add Fresh Avocado,166,15.3g,2.1g,0g,0mg,7.9mg,8.6g,6.7g,0.3g,1.9g
Add Fried Egg,186,18.6g,2.2g,0.1g,148.9mg,83.6mg,0g,0g,0g,5.4g
Add On Beef Patty,182,12.9g,4.6g,0.8g,57mg,194.8mg,0g,0g,0g,15.9g
Add On Impossible Patty,200,11g,5g,0g,0mg,319.3mg,8g,5g,1g,17g
Add Sauteed Mushrooms,33,3.4g,0.3g,0g,0mg,19.3mg,0.8g,0.2g,0.5g,0.9g
Add on Bacon Slice,57,5g,1.8g,0g,14.3mg,243.8mg,0g,0g,0g,3.6g
Afghani Chicken Kebabs,134,6.1g,1.2g,0g,71.6mg,224.8mg,4.7g,0.2g,2.2g,14.4g
African Braised Cabbage,52,2.9g,0.3g,0g,0mg,221.5mg,6.3g,2.3g,3.6g,1.3g
African Peri Peri Chicken,155,7.1g,1.5g,0g,95.9mg,236.3mg,1.4g,0.2g,0.2g,20.3g
Aji Verde Sauce,69,6.2g,0.7g,0g,5.3mg,116.5mg,2.3g,0.3g,0.8g,1g
Alaskan Roll,298,10.1g,1.9g,0g,23.4mg,317.4mg,37.2g,2.4g,2g,13.5g
Alfalfa Sprouts,1,0g,0g,0g,0mg,0.2mg,0.1g,0.1g,0g,0.1g
Alfredo Sauce,102,8.4g,2.8g,0g,13.9mg,278.9mg,3.7g,0g,1.9g,2.8g
Almond Joy Muffin Top,280,14.6g,2.8g,0g,44.8mg,175.1mg,34.3g,0g,20.3g,3.5g
Aloo Gobi,48,1.5g,0.2g,0g,0mg,157.5mg,8.4g,1.9g,1.3g,1.6g
American Cheese,51,4.1g,2.5g,0g,12.7mg,253.1mg,1g,0g,0.5g,2.5g
Anadama Bread,34,0.4g,0.1g,0g,0mg,26.2mg,6.4g,0.2g,1.4g,1g
Ancho Chile Pork Torta,283,6.8g,2.2g,0g,40mg,895.7mg,38.4g,2.3g,3.1g,17.8g
